id,product_id,color,size,stock,price,note
1,1,Trắng,M,91,102044,
2,1,Đen,L,66,96498,
3,2,Trắng,M,46,129378,
4,2,Đen,L,61,122489,
5,3,Đen,M,73,180519,
6,3,Đen,M,112,194301,
7,4,Đen,M,140,257687,
8,4,Trắng,L,69,253830,
9,5,Đen,M,43,316857,
10,5,Trắng,L,136,306163,
11,6,Trắng,L,103,64344,
12,6,Trắng,L,125,51892,
13,7,Đen,M,99,154846,
14,7,Đen,L,59,158927,
15,8,Đen,M,64,451232,
16,8,Trắng,M,130,454889,
17,9,Đen,L,55,95395,
18,9,Đen,L,79,108781,
19,10,Đen,L,76,129464,
20,10,Trắng,L,112,128070,
21,11,Trắng,L,121,192198,
22,11,Trắng,L,28,185058,
23,12,Trắng,L,115,256228,
24,12,Trắng,M,100,246867,
25,13,Đen,M,52,308855,
26,13,Trắng,L,30,310086,
27,14,Trắng,L,81,51371,
28,14,Đen,M,23,62294,
29,15,Trắng,L,149,156386,
30,15,Đen,M,136,150523,
31,16,Đen,M,66,451738,
32,16,Đen,M,134,446765,
33,17,Trắng,L,147,104375,
34,17,Trắng,M,126,94645,
35,18,Trắng,M,131,127446,
36,18,Đen,L,70,117645,
37,19,Đen,M,55,190342,
38,19,Đen,L,28,185200,
39,20,Trắng,L,62,248002,
40,20,Đen,M,119,259869,
41,21,Trắng,L,41,308781,
42,21,Đen,L,48,313710,
43,22,Trắng,L,33,59366,
44,22,Đen,L,94,57618,
45,23,Đen,M,59,151542,
46,23,Đen,M,101,157838,
47,24,Đen,L,136,458160,
48,24,Đen,M,129,454780,
49,25,Trắng,M,81,106566,
50,25,Đen,L,110,105606,
51,26,Đen,L,29,118953,
52,26,Đen,M,32,116253,
53,27,Trắng,L,145,188337,
54,27,Đen,L,132,181691,
55,28,Trắng,M,117,247180,
56,28,Trắng,M,75,258808,
57,29,Đen,M,83,306532,
58,29,Trắng,L,34,314706,
59,30,Đen,L,142,51073,
60,30,Đen,L,144,58777,
61,31,Trắng,L,97,148419,
62,31,Trắng,M,65,153632,
63,32,Đen,L,41,456588,
64,32,Trắng,M,127,458220,
65,33,Trắng,L,73,95928,
66,33,Đen,L,141,103151,
67,34,Trắng,M,108,129191,
68,34,Trắng,L,51,115025,
69,35,Trắng,M,132,189886,
70,35,Trắng,L,79,189698,
71,36,Đen,L,52,258449,
72,36,Đen,M,30,252663,
73,37,Trắng,M,102,305448,
74,37,Trắng,M,89,310354,
75,38,Trắng,L,34,57612,
76,38,Đen,L,44,56075,
77,39,Đen,L,50,150687,
78,39,Đen,M,90,148025,
79,40,Trắng,L,86,446143,
80,40,Đen,M,30,449831,
81,41,Trắng,M,47,107762,
82,41,Đen,M,52,98761,
83,42,Trắng,M,129,129228,
84,42,Trắng,M,101,116604,
85,43,Đen,L,75,191522,
86,43,Trắng,L,31,181372,
87,44,Trắng,M,84,253596,
88,44,Trắng,L,141,250834,
89,45,Trắng,M,116,318558,
90,45,Trắng,M,44,314630,
91,46,Trắng,L,77,61013,
92,46,Trắng,M,136,61213,
93,47,Đen,L,98,158248,
94,47,Trắng,M,28,158262,
95,48,Trắng,M,83,447728,
96,48,Trắng,L,129,457492,
97,49,Trắng,L,137,100171,
98,49,Trắng,M,122,96432,
99,50,Đen,M,51,129867,
100,50,Trắng,L,102,121647,
101,51,Đen,L,40,187319,
102,51,Đen,M,130,185198,
103,52,Trắng,M,62,259170,
104,52,Trắng,L,140,257779,
105,53,Đen,L,34,316644,
106,53,Đen,L,128,311113,
107,54,Đen,L,37,62715,
108,54,Trắng,L,139,53203,
109,55,Đen,L,52,153525,
110,55,Trắng,M,83,149483,
111,56,Đen,M,127,448227,
112,56,Đen,L,133,459958,
113,57,Trắng,M,111,105268,
114,57,Đen,M,143,99167,
115,58,Đen,M,90,120611,
116,58,Đen,L,39,119560,
